# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_11
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
89.8208   1684.32
100.883   1611.11
111.706   1544.76
122.378   1484
132.965   1427.9
143.519   1375.78
154.083   1327.07
164.691   1281.36
175.373   1238.3
186.156   1197.61
197.062   1159.03
208.114   1122.38
219.331   1087.47
230.731   1054.18
242.332   1022.36
254.15   991.899
266.202   962.704
278.503   934.689
291.068   907.775
303.914   881.893
317.054   856.978
330.504   832.976
344.279   809.834
357.059   787.508
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.366874   2710.83
22.9407   2442.04
40.9712   2252.19
56.1251   2109.86
69.8004   1993.45
82.5854   1893.91
94.7957   1806.47
106.625   1728.21
118.203   1657.23
129.624   1592.18
140.956   1532.1
152.256   1476.23
163.568   1424.01
174.93   1374.99
186.373   1328.79
197.926   1285.11
209.614   1243.68
221.459   1204.32
233.481   1166.82
245.703   1131.05
258.14   1096.84
270.813   1064.09
283.738   1032.7
296.93   1002.57
310.409   973.616
324.189   945.768
338.288   918.959
352.72   893.129
367.503   868.222
382.442   844.187
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.27535   2850.07
23.3792   2588.12
42.3413   2389.21
58.3393   2239.37
72.8018   2116.52
86.3373   2011.32
99.2735   1918.79
111.813   1835.92
124.093   1760.7
136.208   1691.72
148.235   1627.97
160.231   1568.66
172.242   1513.21
184.307   1461.13
196.463   1412.03
208.737   1365.59
221.155   1321.55
233.743   1279.67
246.523   1239.79
259.516   1201.71
272.74   1165.3
286.217   1130.43
299.963   1097
313.998   1064.91
328.337   1034.07
343   1004.41
358.005   975.84
373.365   948.313
389.103   921.769
404.428   896.153
+KVIDCutLine
OK:Bragg_line
right
9
0   339.673
4.07129e-08   449.966
3.43488e-07   527.395
0.0182821   1203.42
0.032028   1354.9
0.0705119   1595.61
0.0324777   2550.1
0.0455337   2712.8
0.0610035   2860.37
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_12
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_12
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.30753   320.782
2.83171   302.156
5.18006   276.664
7.08425   258.443
8.78131   243.813
10.3584   231.427
11.8597   220.611
13.3113   210.971
14.7304   202.251
16.1289   194.278
17.5162   186.925
18.8989   180.097
20.2828   173.719
21.6726   167.736
23.0722   162.101
24.4852   156.775
25.9146   151.726
27.3632   146.928
28.8335   142.36
30.3282   138
31.8493   133.832
33.3991   129.842
34.9797   126.017
36.5932   122.344
38.2415   118.815
39.9267   115.421
41.6507   112.151
43.4155   109.001
45.2231   105.963
44.8414   103.03
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.31359   431.37
3.73589   402.462
6.69644   371.264
9.16806   348.162
11.3985   329.315
13.4861   313.201
15.4829   299.033
17.4203   286.339
19.3192   274.809
21.1947   264.227
23.0579   254.437
24.9178   245.322
26.7815   236.789
28.655   228.767
30.5435   221.194
32.4515   214.024
34.3832   207.217
36.342   200.737
38.3315   194.557
40.3549   188.651
42.4153   182.998
44.5155   177.58
46.6585   172.378
48.847   167.378
51.0837   162.569
53.3714   157.938
55.7128   153.472
58.1104   149.166
60.5671   145.008
62.9092   140.992
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.931157   514.123
4.02866   477.436
7.47161   441.559
10.3712   414.724
12.9995   392.713
15.4672   373.827
17.8324   357.174
20.1312   342.22
22.3876   328.61
24.6187   316.099
26.8377   304.508
29.0547   293.701
31.2781   283.573
33.515   274.037
35.7715   265.029
38.0528   256.491
40.3638   248.376
42.7088   240.647
45.0921   233.268
47.5173   226.211
49.9881   219.451
52.5082   212.966
55.0808   206.737
57.7094   200.747
60.3974   194.98
63.148   189.423
65.9645   184.064
68.85   178.891
71.8081   173.895
74.5542   169.066
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.768599   1189.5
11.3606   1056.66
19.369   970.85
25.9877   907.912
31.9194   856.937
37.4436   813.609
42.7063   775.699
47.7958   741.875
52.7707   711.269
57.6724   683.278
62.5322   657.464
67.3742   633.498
72.2181   611.125
77.0801   590.142
81.9741   570.387
86.9122   551.726
91.9051   534.046
96.9626   517.254
102.093   501.271
107.307   486.027
112.609   471.464
118.01   457.527
123.515   444.174
129.131   431.362
134.866   419.056
140.727   407.224
146.72   395.837
152.851   384.867
159.129   374.293
165.537   364.093
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.487446   1344.6
12.1647   1199.93
21.1672   1103.89
28.6424   1033.03
35.3571   975.462
41.6195   926.428
47.5915   883.458
53.371   845.071
59.0237   810.299
64.5961   778.469
70.1229   749.092
75.6317   721.798
81.1443   696.303
86.6791   672.378
92.2519   649.84
97.8762   628.54
103.565   608.351
109.328   589.168
115.175   570.901
121.118   553.472
127.165   536.816
133.324   520.872
139.603   505.59
146.011   490.924
152.556   476.833
159.246   463.28
166.087   450.235
173.09   437.666
180.258   425.548
187.116   413.855
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.556388   1584.87
13.5167   1428.45
23.9775   1318.2
32.7657   1235.68
40.7041   1168.15
48.1327   1110.36
55.233   1059.54
62.1162   1014
68.8571   972.677
75.5091   934.774
82.1128   899.733
88.6996   867.132
95.2953   836.638
101.922   807.989
108.597   780.974
115.336   755.416
122.156   731.169
129.068   708.111
136.086   686.138
143.218   665.158
150.479   645.092
157.878   625.872
165.423   607.439
173.125   589.739
180.994   572.725
189.04   556.351
197.272   540.582
205.699   525.383
214.33   510.722
223.019   496.571
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.417288   2535.64
22.1716   2272.18
39.005   2093.56
53.0956   1960.32
65.7871   1851.6
77.6386   1758.8
88.9479   1677.36
99.8978   1604.55
110.609   1538.55
121.171   1478.11
131.647   1422.32
142.089   1370.46
152.541   1322.01
163.034   1276.55
173.601   1233.72
184.265   1193.23
195.052   1154.85
205.98   1118.39
217.072   1083.67
228.343   1050.55
239.812   1018.88
251.495   988.578
263.407   959.531
275.565   931.655
287.983   904.875
300.677   879.12
313.661   854.328
326.949   830.442
340.558   807.412
354.23   785.193
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.362528   2698.52
22.7354   2431.04
40.5974   2242.19
55.6075   2100.61
69.1517   1984.8
81.813   1885.8
93.904   1798.8
105.617   1720.96
117.08   1650.35
128.386   1585.65
139.605   1525.86
150.789   1470.29
161.986   1418.35
173.231   1369.57
184.555   1323.61
195.987   1280.16
207.551   1238.95
219.269   1199.78
231.163   1162.48
243.253   1126.87
255.555   1092.84
268.09   1060.26
280.872   1029.02
293.919   999.043
307.247   970.233
320.873   942.523
334.812   915.845
349.08   890.14
363.694   865.353
378.51   841.435
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.26287   2837.18
23.1702   2576.49
41.9549   2378.63
57.801   2229.57
72.1246   2107.36
85.5289   2002.72
98.3384   1910.68
110.755   1828.24
122.912   1753.4
134.906   1684.79
146.811   1621.37
158.684   1562.38
170.571   1507.21
182.513   1455.4
194.541   1406.55
206.686   1360.35
218.973   1316.54
231.427   1274.87
244.069   1235.18
256.921   1197.29
270.002   1161.07
283.33   1126.38
296.925   1093.12
310.802   1061.19
324.982   1030.51
339.48   1000.98
354.313   972.556
369.5   945.164
385.056   918.748
400.357   893.255
+KVIDCutLine
OK:Bragg_line
right
9
1.57169e-09   338.114
3.95894e-08   447.926
3.36526e-07   525.026
0.0180311   1197.89
0.0315884   1348.7
0.069545   1588.38
0.0320038   2538.49
0.0448695   2700.48
0.060114   2847.43
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_13
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_13
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.30797   323.643
2.81545   305.075
5.15729   279.431
7.05514   261.102
8.74583   246.381
10.3165   233.92
11.8111   223.036
13.2556   213.334
14.6674   204.559
16.0584   196.534
17.4374   189.131
18.8117   182.256
20.1867   175.835
21.567   169.811
22.9567   164.136
24.3592   158.772
25.7774   153.686
27.2143   148.853
28.6724   144.251
30.154   139.858
31.6614   135.658
33.1967   131.638
34.7621   127.781
36.3594   124.08
37.9909   120.522
39.6582   117.099
41.3635   113.803
43.1086   110.626
44.8955   107.562
46.7261   104.603
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.31469   435.215
3.7413   406.044
6.7057   374.578
9.18036   351.278
11.4134   332.268
13.5034   316.016
15.5023   301.727
17.4418   288.923
19.3426   277.293
21.2198   266.62
23.0849   256.747
24.9464   247.553
26.8117   238.948
28.6867   230.855
30.5767   223.218
32.4862   215.986
34.4192   209.12
36.3794   202.585
38.3702   196.351
40.3949   190.394
42.4564   184.692
44.5579   179.226
46.702   173.98
48.8915   168.937
51.1293   164.086
53.4179   159.413
55.7601   154.91
58.1585   150.565
60.616   146.372
62.7798   142.321
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.931784   518.714
4.03481   481.693
7.48231   445.505
10.3855   418.439
13.017   396.239
15.4873   377.19
17.8553   360.393
20.1566   345.309
22.4152   331.583
24.6485   318.965
26.8695   307.274
29.0886   296.374
31.3139   286.157
33.5528   276.54
35.8109   267.455
38.094   258.842
40.4067   250.658
42.7533   242.862
45.1381   235.419
47.5648   228.301
50.0371   221.482
52.5586   214.941
55.1325   208.658
57.7625   202.616
60.4516   196.799
63.2033   191.194
66.0208   185.787
68.9075   180.569
71.8665   175.53
74.4352   170.659
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.768835   1200.03
11.3769   1066.02
19.3953   979.487
26.0217   916.012
31.9601   864.602
37.4903   820.905
42.7586   782.671
47.8533   748.559
52.833   717.691
57.7393   689.461
62.6036   663.426
67.4499   639.255
72.2978   616.69
77.1637   595.528
82.0615   575.603
87.0033   556.781
91.9997   538.949
97.0606   522.013
102.195   505.892
107.411   490.518
112.717   475.828
118.12   461.771
123.627   448.303
129.246   435.379
134.984   422.967
140.847   411.032
146.843   399.545
152.977   388.481
159.257   377.815
165.452   367.525
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.48733   1356.52
12.1827   1210.58
21.1965   1113.71
28.6806   1042.25
35.4031   984.189
41.6723   934.737
47.6506   891.399
53.4361   852.683
59.0944   817.613
64.672   785.512
70.204   755.883
75.7175   728.356
81.2349   702.641
86.7742   678.512
92.3512   655.78
97.9797   634.297
103.672   613.935
109.439   594.587
115.291   576.162
121.238   558.583
127.287   541.782
133.449   525.701
139.732   510.287
146.143   495.494
152.691   481.281
159.383   467.61
166.227   454.452
173.232   441.774
180.403   429.549
186.79   417.754
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.5566   1598.96
13.5378   1441.13
24.012   1329.94
32.811   1246.72
40.7585   1178.61
48.1954   1120.32
55.3034   1069.06
62.1937   1023.15
68.9414   981.458
75.5998   943.23
82.2095   907.888
88.8022   875.008
95.4035   844.253
102.036   815.358
108.715   788.109
115.461   762.333
122.285   737.877
129.202   714.621
136.224   692.458
143.362   671.297
150.626   651.057
158.028   631.672
165.577   613.079
173.284   595.226
181.156   578.064
189.205   561.548
197.44   545.642
205.87   530.311
214.505   515.522
222.947   501.247
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.417244   2558.14
22.2061   2292.34
39.0606   2112.19
53.168   1977.8
65.874   1868.15
77.7384   1774.56
89.0596   1692.43
100.02   1619
110.742   1552.44
121.314   1491.48
131.8   1435.22
142.251   1382.92
152.711   1334.05
163.214   1288.2
173.787   1245
184.46   1204.16
195.254   1165.46
206.19   1128.68
217.288   1093.67
228.566   1060.24
240.042   1028.32
251.73   997.749
263.648   968.45
275.811   940.334
288.235   913.322
300.933   887.343
313.921   862.335
327.215   838.242
340.827   815.012
353.941   792.6
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.36237   2722.5
22.7715   2452.62
40.6562   2262.15
55.6844   2119.36
69.2441   2002.56
81.9193   1902.71
94.0232   1814.97
105.747   1736.47
117.222   1665.25
128.539   1599.99
139.767   1539.7
150.963   1483.66
162.169   1431.26
173.422   1382.07
184.755   1335.71
196.195   1291.88
207.767   1250.32
219.494   1210.82
231.396   1173.19
243.492   1137.28
255.801   1102.96
268.342   1070.09
281.13   1038.59
294.183   1008.35
307.517   979.287
321.149   951.336
335.093   924.427
349.365   898.499
363.983   873.496
378.339   849.368
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.26391   2862.41
23.1968   2599.5
41.9993   2399.98
57.859   2249.68
72.1939   2126.45
85.6079   2020.93
98.4266   1928.12
110.85   1844.99
123.013   1769.52
135.014   1700.34
146.923   1636.38
158.801   1576.89
170.692   1521.26
182.636   1469.01
194.667   1419.75
206.814   1373.16
219.102   1328.97
231.556   1286.95
244.198   1246.93
257.049   1208.72
270.128   1172.17
283.454   1137.2
297.045   1103.64
310.919   1071.44
325.094   1040.49
339.586   1010.71
354.412   982.041
369.591   954.411
385.138   927.765
400.86   902.05
+KVIDCutLine
OK:Bragg_line
right
9
2.57222e-09   341.108
3.85429e-08   451.906
3.34055e-07   529.706
0.0180026   1208.49
0.0315385   1360.65
0.0694358   1602.49
0.0319364   2561.01
0.0447751   2724.47
0.059988   2872.75
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_14
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_14
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.33794   323.198
2.89783   304.431
5.30104   278.748
7.24969   260.391
8.98636   245.65
10.6003   233.171
12.1366   222.274
13.6221   212.562
15.0743   203.778
16.5055   195.744
17.925   188.335
19.34   181.456
20.7562   175.031
22.1783   169.003
23.6106   163.325
25.0565   157.959
26.5192   152.872
28.0016   148.039
29.5061   143.436
31.0356   139.043
32.5921   134.844
34.1781   130.824
35.7954   126.97
37.4465   123.271
39.1331   119.714
40.8575   116.294
42.6217   113.001
44.4275   109.826
46.2772   106.766
45.8753   103.81
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.34421   434.618
3.8232   405.492
6.8529   374.061
9.38223   350.785
11.6647   331.796
13.801   315.562
15.8444   301.288
17.8271   288.498
19.7703   276.881
21.6895   266.22
23.5962   256.357
25.4994   247.173
27.4065   238.577
29.3238   230.494
31.2563   222.865
33.2088   215.641
35.1853   208.782
37.1898   202.254
39.2257   196.028
41.2962   190.078
43.4046   184.383
45.5537   178.923
47.7467   173.682
49.9861   168.646
52.2748   163.8
54.6158   159.133
57.0116   154.635
59.465   150.296
61.9788   146.107
64.3589   142.061
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.952849   517.995
4.12284   481.031
7.64622   444.885
10.6134   417.849
13.3032   395.673
15.8283   376.645
18.2489   359.868
20.6013   344.8
22.9103   331.088
25.1935   318.484
27.4642   306.806
29.7329   295.918
32.0082   285.713
34.2973   276.106
36.6063   267.03
38.9408   258.429
41.3057   250.253
43.7053   242.466
46.144   235.032
48.6257   227.921
51.1541   221.111
53.7328   214.577
56.3653   208.301
59.0552   202.267
61.8057   196.456
64.6203   190.857
67.5023   185.458
70.4551   180.246
73.4819   175.212
76.2753   170.347
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.786477   1198.46
11.6261   1064.61
19.8216   978.16
26.5947   914.75
32.6648   863.392
38.3179   819.74
43.7034   781.546
48.9117   747.469
54.0026   716.633
59.0186   688.432
63.9917   662.425
68.9467   638.279
73.9035   615.739
78.8789   594.599
83.887   574.695
88.9401   555.894
94.0493   538.082
99.2245   521.164
104.475   505.061
109.809   489.703
115.236   475.03
120.762   460.989
126.395   447.535
132.142   434.627
138.01   422.229
144.008   410.308
150.14   398.835
156.414   387.783
162.838   377.129
169.384   366.852
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.498759   1354.72
12.449   1208.96
21.6617   1112.2
29.3115   1040.81
36.183   982.811
42.5915   933.41
48.7027   890.117
54.6171   851.442
60.4017   816.409
66.104   784.341
71.7598   754.743
77.397   727.246
83.0381   701.559
88.7019   677.454
94.4045   654.748
100.16   633.288
105.98   612.947
111.878   593.62
117.862   575.216
123.944   557.658
130.131   540.875
136.433   524.812
142.858   509.415
149.416   494.64
156.114   480.443
162.959   466.788
169.959   453.645
177.124   440.982
184.46   428.772
191.438   416.992
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.569334   1596.81
13.8327   1439.2
24.5378   1328.12
33.5313   1245
41.655   1176.95
49.2569   1118.72
56.5229   1067.53
63.5667   1021.65
70.4649   980.013
77.272   941.825
84.0297   906.522
90.7701   873.676
97.5195   842.954
104.3   814.089
111.131   786.871
118.028   761.122
125.006   736.693
132.079   713.462
139.26   691.324
146.56   670.187
153.989   649.97
161.559   630.606
169.281   612.035
177.162   594.202
185.215   577.06
193.448   560.563
201.871   544.675
210.494   529.362
219.327   514.592
228.198   500.333
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.426977   2554.72
22.69   2289.29
39.9165   2109.33
54.336   1975.07
67.3239   1865.55
79.4519   1772.05
91.025   1690
102.23   1616.65
113.192   1550.16
123.999   1489.26
134.72   1433.04
145.406   1380.81
156.101   1332
166.839   1286.19
177.652   1243.04
188.565   1202.24
199.603   1163.58
210.786   1126.84
222.136   1091.87
233.67   1058.49
245.405   1026.59
257.36   996.056
269.55   966.791
281.99   938.707
294.697   911.725
307.687   885.777
320.972   860.798
334.57   836.733
348.496   813.531
362.442   791.145
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.370935   2718.85
23.2671   2449.34
41.5461   2259.07
56.9067   2116.43
70.767   1999.76
83.7238   1900.01
96.097   1812.37
108.083   1733.94
119.814   1662.79
131.384   1597.61
142.863   1537.38
154.31   1481.39
165.767   1429.05
177.273   1379.92
188.862   1333.61
200.56   1289.82
212.393   1248.31
224.385   1208.85
236.556   1171.27
248.927   1135.39
261.516   1101.11
274.342   1068.28
287.421   1036.81
300.773   1006.6
314.411   977.578
328.354   949.659
342.617   922.781
357.217   896.883
372.171   871.91
387.298   847.812
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.29231   2858.54
23.7121   2595.89
42.9355   2396.54
59.1516   2246.36
73.8095   2123.23
87.5266   2017.81
100.635   1925.09
113.341   1842.02
125.782   1766.62
138.056   1697.5
150.238   1633.6
162.388   1574.16
174.553   1518.59
186.772   1466.38
199.081   1417.18
211.508   1370.62
224.082   1326.48
236.826   1284.51
249.763   1244.52
262.914   1206.35
276.299   1169.85
289.939   1134.9
303.849   1101.39
318.05   1069.22
332.559   1038.31
347.394   1008.56
362.573   979.922
378.112   952.324
394.03   925.709
409.633   900.025
+KVIDCutLine
OK:Bragg_line
right
9
8.87198e-10   340.658
3.93823e-08   451.298
3.41704e-07   528.98
0.0184473   1206.91
0.0323174   1358.85
0.0711501   1600.33
0.0327408   2557.59
0.0459027   2720.82
0.0614985   2868.88
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_21
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_21
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.311   335.232
2.83219   315.967
5.18855   289.435
7.09746   270.474
8.79766   255.247
10.3768   242.357
11.8793   231.099
13.3312   221.063
14.7499   211.985
16.1475   203.684
17.5331   196.026
18.9136   188.914
20.2945   182.272
21.6807   176.039
23.0761   170.168
24.484   164.618
25.9077   159.357
27.3499   154.357
28.8131   149.595
30.2998   145.05
31.8122   140.704
33.3523   136.543
34.9223   132.553
36.5245   128.723
38.1603   125.041
39.8321   121.498
41.5416   118.086
43.2909   114.798
45.0818   111.626
46.9162   108.565
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.32034   450.791
3.76647   420.557
6.74911   388.002
9.23826   363.897
11.4838   344.232
13.5853   327.42
15.5949   312.638
17.5442   299.394
19.4545   287.362
21.3408   276.322
23.2146   266.107
25.0845   256.597
26.958   247.693
28.8411   239.321
30.7389   231.42
32.656   223.938
34.5963   216.834
36.5637   210.072
38.5617   203.622
40.5933   197.459
42.6617   191.559
44.7698   185.903
46.9203   180.473
49.1162   175.255
51.3601   170.235
53.6548   165.4
56.0029   160.738
58.407   156.243
60.87   151.902
62.227   147.708
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.935172   537.311
4.06317   498.937
7.53223   461.492
10.4526   433.489
13.0991   410.521
15.5832   390.813
17.9637   373.437
20.277   357.832
22.5469   343.631
24.7911   330.576
27.0226   318.481
29.2518   307.204
31.487   296.634
33.7354   286.684
36.003   277.284
38.2952   268.374
40.6167   259.906
42.9722   251.839
45.3654   244.138
47.8004   236.773
50.2809   229.717
52.8103   222.949
55.3921   216.447
58.0296   210.194
60.7262   204.175
63.4851   198.373
66.3097   192.778
69.2031   187.378
72.1687   182.161
73.9581   177.119
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.770504   1242.69
11.4385   1104.14
19.4965   1014.7
26.1538   949.091
32.1183   895.952
37.6717   850.784
42.9608   811.262
48.0745   775.998
53.0719   744.086
57.9946   714.901
62.8741   687.984
67.7346   662.992
72.5959   639.66
77.4742   617.777
82.3834   597.172
87.3358   577.708
92.342   559.266
97.4118   541.749
102.555   525.076
107.778   509.172
113.089   493.976
118.498   479.435
124.01   465.5
129.633   452.13
135.374   439.286
141.238   426.937
147.234   415.05
153.367   403.599
159.644   392.559
166.074   381.91
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.487332   1404.81
12.2472   1253.92
21.3048   1153.8
28.8227   1079.95
35.5737   1019.93
41.8682   968.821
47.8691   924.025
53.6752   884.004
59.3524   847.751
64.9475   814.564
70.4955   783.933
76.024   755.472
81.555   728.885
87.107   703.934
92.6955   680.43
98.3346   658.213
104.036   637.155
109.812   617.145
115.67   598.089
121.623   579.908
127.678   562.529
133.845   545.893
140.13   529.947
146.543   514.642
153.091   499.936
159.782   485.792
166.624   472.175
173.625   459.054
180.792   446.403
188.07   434.195
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.557989   1656.01
13.6216   1492.69
24.1517   1377.72
32.9948   1291.68
40.9805   1221.25
48.4513   1160.98
55.5902   1107.99
62.5091   1060.51
69.2835   1017.41
75.967   977.877
82.6004   941.332
89.2154   907.33
95.8379   875.524
102.49   845.642
109.189   817.463
115.952   790.802
122.794   765.508
129.726   741.453
136.762   718.529
143.914   696.638
151.191   675.702
158.605   655.647
166.165   636.412
173.88   617.939
181.762   600.181
189.818   583.092
198.059   566.633
206.493   550.767
215.131   535.462
223.597   520.687
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.417469   2649.28
